Iteration,Discriminator Loss,Generator Loss
2520,0.912475,0.867107
2530,0.586601,0.101544
2540,1.042829,0.637144
2550,0.732415,0.099803
2560,1.050402,0.924891
2570,0.495646,0.424847
2580,1.337148,0.194141
2590,1.120763,0.311756
2600,0.965884,0.878083
2610,0.500929,0.867445
2620,1.074622,1.361100
2630,0.875247,1.000072
2640,1.359477,0.301073
2650,1.077318,0.524421
2660,0.584366,0.248224
2670,0.385166,0.186467
2680,0.457892,0.301020
2690,0.305484,0.692452
2700,0.504859,0.837248
2710,1.030956,0.685559
2720,0.855355,0.016469
2730,0.987064,0.817510
2740,1.091851,0.145911
2750,1.101218,0.857671
2760,0.297429,0.039477
2770,0.678171,0.542370
2780,0.727684,0.519676
2790,0.464314,0.707147
2800,0.977462,1.536577
2810,1.080108,0.695762
2820,0.923014,0.415699
2830,0.667725,1.151114
2840,0.521693,0.081656
2850,0.253988,0.012442
2860,0.298555,3.718917
2870,1.455642,0.207722
2880,0.307210,2.745961
2890,1.203592,0.710852
2900,0.568709,0.930197
2910,1.062064,0.769570
2920,0.603052,0.467115
2930,0.824812,0.628578
2940,1.178545,0.603862
2950,1.071515,0.663158
2960,1.053954,0.856443
2970,0.495333,1.126686
2980,0.943568,0.772910
2990,0.859667,0.959723
3000,0.689271,1.165864
3010,0.778864,0.843549
3020,0.350312,0.035339
3030,0.687878,0.772552
3040,0.614172,0.709198
3050,0.472046,0.050446
3060,0.521518,0.160687
3070,0.552352,0.762893
3080,0.694617,0.546004
3090,0.280374,0.003130
3100,6.603373,1.206310
3110,3.266408,5.058247
3120,1.833857,0.855454
3130,1.093360,0.383558
3140,0.088550,1.476566
3150,4.751793,0.452721
3160,1.015897,0.695008
3170,0.253470,0.031288
3180,0.552347,0.314003
3190,0.637264,0.631149
3200,0.085604,3.743815
3210,0.279948,0.019187
3220,2.299315,0.292820
3230,0.524570,0.300039
3240,0.620640,1.383919
3250,0.456301,0.242869
3260,0.002107,6.921640
3270,0.000053,8.644825
3280,0.208425,0.001648
3290,2.928513,1.694485
3300,0.819680,1.026883
3310,0.020090,4.485293
3320,0.000126,9.919521
3330,3.285254,0.007306
3340,0.758487,1.225819
3350,0.773898,0.718877
3360,0.757965,0.683245
3370,0.806253,0.829279
3380,2.297441,0.165636
3390,0.840580,1.149351
3400,0.285141,1.188242
3410,0.813762,1.482469
3420,0.002347,4.410975
3430,0.921030,1.127870
3440,0.783730,0.886093
3450,0.579844,0.062438
3460,0.758037,0.790955
3470,0.413615,0.159081
3480,1.056021,0.315042
3490,0.005769,6.516457
3500,0.000015,13.478468
3510,0.000000,17.087833
3520,0.000000,15.321529
3530,1.879947,0.098474
3540,0.842365,0.763530
3550,0.817065,1.303479
3560,0.963545,0.910430
3570,1.038509,1.318403
3580,0.845399,0.150670
3590,0.687784,0.166651
3600,0.649473,0.538500
3610,1.082796,0.268839
3620,0.662411,0.718499
3630,0.619209,0.480584
3640,2.643903,0.448859
3650,0.783443,0.229024
3660,0.995730,0.499690
3670,0.906479,0.477884
3680,0.757979,2.885996
3690,1.030720,0.907090
3700,0.724820,0.757551
3710,1.130273,1.499440
3720,0.863761,0.861501
3730,0.686104,0.586218
3740,0.658422,2.930934
3750,0.657527,3.410783
3760,0.783323,0.545755
3770,0.595333,1.860177
3780,0.754982,1.452194
3790,0.155414,0.318774
3800,0.575116,0.061928
3810,0.536307,0.399461
3820,4.074433,0.241585
3830,0.990787,4.942223
3840,1.720095,0.320526
3850,0.964583,1.259211
